	name	race	sex
0	1st Legion Magitek Engineer	Hyur	Male
1	1st Legion Soldier	Hyur	Male
2	1st Platoon Soldier	Hyur	Male
3	3rd Unit Brave	Hyur	Male
4	4th Legion Soldier	Hyur	Male
5	4th Platoon Soldier	Hyur	Male
6	6th Legion Decurion	Hyur	Male
7	7th Legion Senior Engineer	Hyur	Male
8	A-Ruhn-Senna	Hyur	Male
9	A-Towa-Cant	Hyur	Male
10	Aalart	Hyur	Male
11	Aarner	Hyur	Male
12	Abducted Ala Mhigan (Hyur Male)	Hyur	Male
13	Abelard	Hyur	Male
14	Abrasive Beggar	Hyur	Male
15	Absent-minded Apprentice	Hyur	Male
16	Absent-minded Merchant	Hyur	Male
17	Abused Adventurer	Hyur	Male
18	Accommodating Official	Hyur	Male
19	Accomplished Alchemist	Hyur	Male
20	Accomplished Apothecary	Hyur	Male
21	Achard	Hyur	Male
22	Acot	Hyur	Male
23	Adalbert	Hyur	Male
24	Adalfuns	Hyur	Male
25	Adalhard	Hyur	Male
26	Addled Assistant	Hyur	Male
27	Adelard	Hyur	Male
28	Adelstan	Hyur	Male
29	Ademar	Hyur	Male
30	Adestan	Hyur	Male
31	Adkin	Hyur	Male
32	Adrien	Hyur	Male
33	Adventure-dreaming Porter	Hyur	Male
34	Adventurers' Guild Emissary	Hyur	Male
35	Adventurers' Guild Investigator (2015)	Hyur	Male
36	Adventurous Frontier Hand	Hyur	Male
37	Aedan	Hyur	Male
38	Aelfraed	Hyur	Male
39	Aelmer	Hyur	Male
40	Aeluuin	Hyur	Male
41	Aethelmaer	Hyur	Male
42	Aethelstan	Hyur	Male
43	Aethelwine	Hyur	Male
44	Affable Elder	Hyur	Male
45	Affable Imperial	Hyur	Male
46	Afflicted Man	Hyur	Male
47	Afiraz	Hyur	Male
48	Aganbold	Hyur	Male
49	Ageta	Hyur	Male
50	Agile Actor	Hyur	Male
51	Agitated Ala Mhigan	Hyur	Male
52	Agronomics Biologist	Hyur	Male
53	Agu	Hyur	Male
54	Airship Attendant	Hyur	Male
55	Airship Pilot	Hyur	Male
56	Airship Ticketer (The Gold Saucer)	Hyur	Male
57	Aistan	Hyur	Male
58	Ajiro	Hyur	Male
59	Akebono	Hyur	Male
60	Akebono's Bodyguard	Hyur	Male
61	Akitsu	Hyur	Male
62	Ala Mhigan Adventurer	Hyur	Male
63	Ala Mhigan Brigade Officer	Hyur	Male
64	Ala Mhigan Delegate	Hyur	Male
65	Ala Mhigan Malcontent	Hyur	Male
66	Ala Mhigan Merchant	Hyur	Male
67	Ala Mhigan Resistance Gate Guard (Castellum Velodyna)	Hyur	Male
68	Ala Mhigan Resistance Gate Guard (Gylbarde's Gate)	Hyur	Male
69	Ala Mhigan Resistance Gate Guard (Specula Imperatoris)	Hyur	Male
70	Ala Mhigan Resistance Gate Guard (The High Bank)	Hyur	Male
71	Ala Mhigan Resistance Gate Guard (Waterways)	Hyur	Male
72	Ala Mhigan Soldier	Hyur	Male
73	Alaric	Hyur	Male
74	Alarmed Man	Hyur	Male
75	Alberic	Hyur	Male
76	Albgast	Hyur	Male
77	Alcher	Hyur	Male
78	Aldebrand	Hyur	Male
79	Alderan	Hyur	Male
80	Aldis	Hyur	Male
81	Aldred	Hyur	Male
82	Alestan	Hyur	Male
83	Alewyn	Hyur	Male
84	Alfan	Hyur	Male
85	Alimahus	Hyur	Male
86	Alistair	Hyur	Male
87	All Saints' Wake Crier (Gridania)	Hyur	Male
88	All Saints' Wake Crier (Ul'dah)	Hyur	Male
89	Allagan Noble	Hyur	Male
90	Alliance Herald	Hyur	Male
91	Allied Communications Officer	Hyur	Male
92	Allied Sentry	Hyur	Male
93	Alphene	Hyur	Male
94	Aluerad	Hyur	Male
95	Amaji	Hyur	Male
96	Amajina and Sons Draughtsman	Hyur	Male
97	Amanieu	Hyur	Male
98	Amarokeep (Fort Jobb)	Hyur	Male
99	Amarokeep (Stilltide)	Hyur	Male
100	Amarokeep (The Derelicts)	Hyur	Male
101	Amarokeep (The Forest of the Lost Shepherd)	Hyur	Male
102	Ambitious Adventurer	Hyur	Male
103	Ambric	Hyur	Male
104	Ambushed Porter	Hyur	Male
105	Amiable Imperial	Hyur	Male
106	Amicable Resistance Fighter	Hyur	Male
107	Amigart	Hyur	Male
108	Anafrid	Hyur	Male
109	Anaoc	Hyur	Male
110	Ancel	Hyur	Male
111	Anfrigg	Hyur	Male
112	Anguished Guard	Hyur	Male
113	Aniud	Hyur	Male
114	Anonymous Arcanist	Hyur	Male
115	Ansehelm	Hyur	Male
116	Anselm	Hyur	Male
117	Ansfrid	Hyur	Male
118	Ansger	Hyur	Male
119	Ansobert	Hyur	Male
120	Anthibert	Hyur	Male
121	Antiquities Dealer	Hyur	Male
122	Anxious Attendant	Hyur	Male
123	Anxious Boy	Hyur	Male
124	Aohata	Hyur	Male
125	Aokumo	Hyur	Male
126	Apartment Caretaker (Kobai Goten Apartment Lobby)	Hyur	Male
127	Apartment Merchant	Hyur	Male
128	Appius	Hyur	Male
129	Apprehensive Customer	Hyur	Male
130	Apprehensive Knight	Hyur	Male
131	Apprentice Alchemist	Hyur	Male
132	Apprentice Engineer	Hyur	Male
133	Apprentice Onmyoji	Hyur	Male
134	Arakane	Hyur	Male
135	Aranami	Hyur	Male
136	Araragi	Hyur	Male
137	Arcavius	Hyur	Male
138	Archembald	Hyur	Male
139	Archimbalt	Hyur	Male
140	Ardaraca	Hyur	Male
141	Ardashir	Hyur	Male
142	Ardbert	Hyur	Male
143	Ardent Adventurer	Hyur	Male
144	Ardent Attendant	Hyur	Male
145	Arenvald	Hyur	Male
146	Arkil	Hyur	Male
147	Arlh	Hyur	Male
148	Armed Imperial Citizen (A)	Hyur	Male
149	Armed Imperial Citizen (B)	Hyur	Male
150	Armed Imperial Citizen (C)	Hyur	Male
151	Armed Imperial Citizen (D)	Hyur	Male
152	Armed Imperial Citizen (E)	Hyur	Male
153	Armed Imperial Citizen (F)	Hyur	Male
154	Armed Imperial Citizen (Magitek Reaper)	Hyur	Male
155	Arms Mender	Hyur	Male
156	Arms Supplier (Quarrymill)	Hyur	Male
157	Arnegis	Hyur	Male
158	Arnott	Hyur	Male
159	Arnwald	Hyur	Male
160	Arold	Hyur	Male
161	Arrivals Attendant (Ul'dah)	Hyur	Male
162	Arsieu	Hyur	Male
163	Art Appraiser	Hyur	Male
164	Artor	Hyur	Male
165	Arvide	Hyur	Male
166	Asahi	Hyur	Male
167	Asahi's Father	Hyur	Male
168	Ascelyn	Hyur	Male
169	Ascian of the Twelfth Chalice	Hyur	Male
170	Ascian of the Twelfth Pentacle	Hyur	Male
171	Ascian of the Twelfth Staff	Hyur	Male
172	Ascian of the Twelfth Sword	Hyur	Male
173	Ashigara	Hyur	Male
174	Assaulted Miner	Hyur	Male
175	Associate Alchemist	Hyur	Male
176	Astin	Hyur	Male
177	Astonished Bather	Hyur	Male
178	Atharn	Hyur	Male
179	Athelston	Hyur	Male
180	Attentive Apprentice	Hyur	Male
181	Attentive Attendant	Hyur	Male
182	Attentive Radiant (Stone, Sky, Sea)	Hyur	Male
183	Attentive Radiant (The Jewel of Thavnair)	Hyur	Male
184	Attractive Actor	Hyur	Male
185	Aubelet	Hyur	Male
186	Augebert	Hyur	Male
187	Augustine	Hyur	Male
188	Austere Adventurer	Hyur	Male
189	Average Actor	Hyur	Male
190	Averay	Hyur	Male
191	Avere	Hyur	Male
192	Averitt	Hyur	Male
193	Aylmer	Hyur	Male
194	Aymar	Hyur	Male
195	Aymark	Hyur	Male
196	Azahma	Hyur	Male
197	Azure-furred Rabbit	Hyur	Male
198	Azure-haired Boy	Hyur	Male
199	Babbling Booklover	Hyur	Male
200	Baby-faced Sekiseigumi	Hyur	Male
201	Baderon	Hyur	Male
202	Baderon Tenfingers	Hyur	Male
203	Bahafiraz	Hyur	Male
204	Bakufu Traitor	Hyur	Male
205	Balan	Hyur	Male
206	Balarr	Hyur	Male
207	Baldewyn	Hyur	Male
208	Baldin	Hyur	Male
209	Barryn	Hyur	Male
210	Bartelot	Hyur	Male
211	Bartholomew	Hyur	Male
212	Baseborn Hyur	Hyur	Male
213	Battle-scarred Veteran	Hyur	Male
214	Baut	Hyur	Male
215	Baynard	Hyur	Male
216	Beastkin Carcass	Hyur	Male
217	Beggarly Bloke	Hyur	Male
218	Beggarly Boy	Hyur	Male
219	Begrimed Bloke	Hyur	Male
220	Begrimed Townsman	Hyur	Male
221	Belated Porter	Hyur	Male
222	Beleaguered Imperial	Hyur	Male
223	Beli	Hyur	Male
224	Belmont	Hyur	Male
225	Ben	Hyur	Male
226	Benedict	Hyur	Male
227	Beneger	Hyur	Male
228	Beringaer	Hyur	Male
229	Berinhard	Hyur	Male
230	Bernard	Hyur	Male
231	Berndan	Hyur	Male
232	Beroald	Hyur	Male
233	Berold	Hyur	Male
234	Bert	Hyur	Male
235	Berthellemy	Hyur	Male
236	Bertram	Hyur	Male
237	Berwelf	Hyur	Male
238	Betyn	Hyur	Male
239	Beves	Hyur	Male
240	Bevis	Hyur	Male
241	Bewildered Citizen	Hyur	Male
242	Bewildered Man	Hyur	Male
243	Bibulous Bloke	Hyur	Male
244	Billebaut	Hyur	Male
245	Blabbering Brass Blade	Hyur	Male
246	Black-robed Ascian	Hyur	Male
247	Black Hitsuji Yoriki	Hyur	Male
248	Black Lotus	Hyur	Male
249	Black Marketeer	Hyur	Male
250	Black Uma Yoriki	Hyur	Male
251	Blayves	Hyur	Male
252	Bleary-eyed Guard	Hyur	Male
253	Bledros	Hyur	Male
254	Bleeding Scout	Hyur	Male
255	Bleidiud	Hyur	Male
256	Blessed Watchman	Hyur	Male
257	Blithesome Businessman	Hyur	Male
258	Bloodthirsty Highwayman	Hyur	Male
259	Blue Monkey Merchant	Hyur	Male
260	Blundering Treasure Hunter	Hyur	Male
261	Blusterous Miner	Hyur	Male
262	Bochard	Hyur	Male
263	Bodwine	Hyur	Male
264	Boisterous Boy	Hyur	Male
265	Bonded Servant	Hyur	Male
266	Bone-weary Worker	Hyur	Male
